record_id,station_id,date,parameter,observed_value,unit
REC0001,ST001,2023-01-01,Nitrate,5.42,mg/L
REC0002,ST001,2023-02-01,Nitrate,5.31,mg/L
REC0003,ST001,2023-03-01,Nitrate,5.12,mg/L
REC0004,ST001,2023-04-01,Nitrate,5.04,mg/L
REC0005,ST001,2023-05-01,Nitrate,4.86,mg/L
REC0006,ST001,2023-06-01,Nitrate,4.73,mg/L
REC0007,ST001,2023-07-01,Nitrate,4.58,mg/L
REC0008,ST001,2023-08-01,Nitrate,4.41,mg/L
REC0009,ST001,2023-09-01,Nitrate,4.27,mg/L
REC0010,ST001,2023-10-01,Nitrate,4.16,mg/L
REC0011,ST001,2023-11-01,Nitrate,4.01,mg/L
REC0012,ST001,2023-12-01,Nitrate,3.87,mg/L
REC0013,ST001,2024-01-01,Nitrate,3.74,mg/L
REC0014,ST001,2024-02-01,Nitrate,3.61,mg/L
REC0015,ST001,2024-03-01,Nitrate,3.49,mg/L
REC0016,ST001,2024-04-01,Nitrate,3.38,mg/L
REC0017,ST001,2024-05-01,Nitrate,3.26,mg/L
REC0018,ST001,2024-06-01,Nitrate,3.19,mg/L
REC0019,ST002,2023-01-01,Dissolved Oxygen,8.12,mg/L
REC0020,ST002,2023-02-01,Dissolved Oxygen,8.26,mg/L
REC0021,ST002,2023-03-01,Dissolved Oxygen,8.37,mg/L
REC0022,ST002,2023-04-01,Dissolved Oxygen,8.31,mg/L
REC0023,ST002,2023-05-01,Dissolved Oxygen,8.24,mg/L
REC0024,ST002,2023-06-01,Dissolved Oxygen,8.18,mg/L
REC0025,ST002,2023-07-01,Dissolved Oxygen,8.05,mg/L
REC0026,ST002,2023-08-01,Dissolved Oxygen,7.96,mg/L
REC0027,ST002,2023-09-01,Dissolved Oxygen,7.91,mg/L
REC0028,ST002,2023-10-01,Dissolved Oxygen,7.98,mg/L
REC0029,ST002,2023-11-01,Dissolved Oxygen,8.03,mg/L
REC0030,ST002,2023-12-01,Dissolved Oxygen,8.09,mg/L
REC0031,ST002,2024-01-01,Dissolved Oxygen,8.13,mg/L
REC0032,ST002,2024-02-01,Dissolved Oxygen,8.24,mg/L
REC0033,ST002,2024-03-01,Dissolved Oxygen,8.29,mg/L
REC0034,ST002,2024-04-01,Dissolved Oxygen,8.22,mg/L
REC0035,ST002,2024-05-01,Dissolved Oxygen,8.14,mg/L
REC0036,ST002,2024-06-01,Dissolved Oxygen,8.06,mg/L
REC0037,ST003,2023-01-01,Turbidity,7.54,NTU
REC0038,ST003,2023-02-01,Turbidity,7.96,NTU
REC0039,ST003,2023-03-01,Turbidity,8.47,NTU
REC0040,ST003,2023-04-01,Turbidity,8.86,NTU
REC0041,ST003,2023-05-01,Turbidity,9.32,NTU
REC0042,ST003,2023-06-01,Turbidity,9.81,NTU
